Country/Region,SKU,SKU Description,Volume Production,Date
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,2.0736,2022-02-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,2.19,2021-08-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,2.85,2021-04-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.05,2021-11-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.29,2021-06-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.59,2021-12-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,3.73,2021-10-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.02,2021-02-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.03,2021-01-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.34,2021-09-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,5.3424000000000005,2022-03-01 00:00:00
Austria,1573013,C SHOCK MNO HIDDEN APPLE NEW AU DE HU,8.704799999999999,2022-04-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-05-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-07-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-08-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2021-12-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2022-02-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2022-04-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0,2022-06-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,0.6696,2022-07-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.34,2021-04-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.38,2021-11-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.6704,2022-05-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,1.97,2021-01-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.0448,2022-08-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.05,2021-03-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.6856,2022-01-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.76,2021-09-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,2.78,2021-06-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,3.8952000000000004,2022-03-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,3.92,2021-02-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,4.84,2021-10-01 00:00:00
Austria,1573017,C SHOCK MNO MISTERY NEW AU DE,5.1984,2022-09-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,0,2022-02-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,0,2022-08-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,0.9216,2022-07-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,1.2,2021-07-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,1.2096000000000002,2022-05-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,1.71,2021-03-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,2.07,2021-04-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,2.42,2021-06-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,2.5128000000000004,2022-09-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,3.1104000000000003,2022-03-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,3.51,2021-05-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,3.85,2021-10-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,3.97,2021-08-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,4.5216,2022-01-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,4.82,2021-12-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,5.18,2021-01-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,5.378400000000001,2022-04-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,6.8,2021-11-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,6.96,2021-09-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,10.54,2021-02-01 00:00:00
Austria,1573023,C SHOCK MNO SPLASHING COLA NEW AU DE HU,12.24,2022-06-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,0,2021-04-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,0,2022-02-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,0,2022-07-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,0,2022-09-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,0.07,2021-08-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,0.84,2021-03-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,1.06,2021-10-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,1.56,2021-07-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,1.908,2022-03-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,2.66,2021-05-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,2.7216,2022-06-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,2.75,2021-06-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,2.7864,2022-05-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,2.79,2021-01-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,2.96,2021-12-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,3.15,2021-11-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,3.9024000000000005,2022-08-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,4.24,2021-09-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,4.6296,2022-04-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,4.6368,2022-01-01 00:00:00
Austria,1573096,C SHOCK MNO MONSTER MIX NEW AU DE,4.75,2021-02-01 00:00:00
